Vulnerable_population,Section,Long_title,Short_title,Group,Group1,Subgroup,AIAN,Asian,Black,Highly.Rural,Hispanic,Men,Missing,Mood.Anxiety,Multirace,NHOPI,No.Mental.Health,Other.Mental.Health,Other.Rural,PTSD,Serious.Mental.Illness,Substance.Abuse,Unknown,Urban,White,Women,X18.44,X45.64,X65.,X65.74,X75.84,X85.
Race/Ethnicity,A. Socio-demographic Characteristics,A1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients,Race/Ethnicity (Overall),Overall,NA,Overall,30893,45956,873325,NA,303287,NA,NA,NA,34116,35303,NA,NA,NA,NA,NA,NA,206346,NA,4122845,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,A. Socio-demographic Characteristics,"A2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Sex, FY13",Race/Ethnicity by Sex ,Sex,NA,F,3049,4130,103644,NA,23536,NA,NA,NA,3905,3115,NA,NA,NA,NA,NA,NA,25388,NA,215779,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,A. Socio-demographic Characteristics,"A2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Sex, FY13",Race/Ethnicity by Sex ,Sex,NA,M,27843,41822,769656,NA,279739,NA,NA,NA,30211,32188,NA,NA,NA,NA,NA,NA,179949,NA,3906882,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,A. Socio-demographic Characteristics,"A3. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Age, FY13",Race/Ethnicity by Age,Age,NA,18-44,7064,15193,169451,NA,91844,NA,NA,NA,8561,6840,NA,NA,NA,NA,NA,NA,55819,NA,543522,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,A. Socio-demographic Characteristics,"A3. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Age, FY13",Race/Ethnicity by Age,Age,NA,45-64,13312,15667,470919,NA,113795,NA,NA,NA,14141,14479,NA,NA,NA,NA,NA,NA,138222,NA,1353506,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,A. Socio-demographic Characteristics,"A3. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Age, FY13",Race/Ethnicity by Age,Age,NA,65+,10513,15092,232925,NA,97637,NA,NA,NA,11413,13984,NA,NA,NA,NA,NA,NA,10970,NA,2225640,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,A. Socio-demographic Characteristics,"A5. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Rural/Urban Status, FY13 ",Race/Ethnicity by Rural/Urban residence,Geography,NA,Highly Rural,1862,121,598,NA,3790,NA,NA,NA,443,289,NA,NA,NA,NA,NA,NA,3013,NA,64380,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,A. Socio-demographic Characteristics,"A5. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Rural/Urban Status, FY13 ",Race/Ethnicity by Rural/Urban residence,Geography,NA,Other Rural,14550,4386,155378,NA,44594,NA,NA,NA,10889,9134,NA,NA,NA,NA,NA,NA,61301,NA,1730728,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,A. Socio-demographic Characteristics,"A5. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Rural/Urban Status, FY13 ",Race/Ethnicity by Rural/Urban residence,Geography,NA,Urban,14284,38496,714521,NA,253872,NA,NA,NA,22615,23915,NA,NA,NA,NA,NA,NA,136260,NA,2317115,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,A. Socio-demographic Characteristics,"A6. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Service-connected Status, FY13 ",Race/Ethnicity by Service-connected Status,Service Connection,NA,No SC,13750,14847,398697,NA,138634,NA,NA,NA,15245,13805,NA,NA,NA,NA,NA,NA,86551,NA,2222012,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,A. Socio-demographic Characteristics,"A6. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Service-connected Status, FY13 ",Race/Ethnicity by Service-connected Status,Service Connection,NA,SC 0-49,6900,13055,206247,NA,70465,NA,NA,NA,7742,8500,NA,NA,NA,NA,NA,NA,74307,NA,925643,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,A. Socio-demographic Characteristics,"A6. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Service-connected Status, FY13 ",Race/Ethnicity by Service-connected Status,Service Connection,NA,SC 50-99,7431,13722,194424,NA,70219,NA,NA,NA,8089,9288,NA,NA,NA,NA,NA,NA,39618,NA,706174,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,A. Socio-demographic Characteristics,"A6. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Service-connected Status, FY13 ",Race/Ethnicity by Service-connected Status,Service Connection,NA,SC 100,2786,4174,73174,NA,23644,NA,NA,NA,3007,3681,NA,NA,NA,NA,NA,NA,5415,NA,266140,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,B. VHA Outpatient Utilization,"B1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by VHA Outpatient Visits, FY13 ",Race/Ethnicity by VHA Outpatient Visits,Encounters,Outpatient Visits,0 encounters,997,1777,17267,NA,4138,NA,NA,NA,336,519,NA,NA,NA,NA,NA,NA,12081,NA,107655,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,B. VHA Outpatient Utilization,"B1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by VHA Outpatient Visits, FY13 ",Race/Ethnicity by VHA Outpatient Visits,Encounters,Outpatient Visits,1 encounter,1748,4164,37083,NA,14088,NA,NA,NA,1436,1884,NA,NA,NA,NA,NA,NA,19137,NA,228660,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,B. VHA Outpatient Utilization,"B1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by VHA Outpatient Visits, FY13 ",Race/Ethnicity by VHA Outpatient Visits,Encounters,Outpatient Visits,2 encounters,1941,3803,43405,NA,15987,NA,NA,NA,1784,2234,NA,NA,NA,NA,NA,NA,24552,NA,319898,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,B. VHA Outpatient Utilization,"B1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by VHA Outpatient Visits, FY13 ",Race/Ethnicity by VHA Outpatient Visits,Encounters,Outpatient Visits,3-5 encounters,5265,9222,123754,NA,45279,NA,NA,NA,5067,5910,NA,NA,NA,NA,NA,NA,51370,NA,804605,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,B. VHA Outpatient Utilization,"B1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by VHA Outpatient Visits, FY13 ",Race/Ethnicity by VHA Outpatient Visits,Encounters,Outpatient Visits,6-11 encounters,6908,11269,190222,NA,70985,NA,NA,NA,7617,8126,NA,NA,NA,NA,NA,NA,47336,NA,957145,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,B. VHA Outpatient Utilization,"B1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by VHA Outpatient Visits, FY13 ",Race/Ethnicity by VHA Outpatient Visits,Encounters,Outpatient Visits,12+ encounters,14034,15721,461594,NA,152810,NA,NA,NA,17876,16630,NA,NA,NA,NA,NA,NA,51870,NA,1704882,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,B. VHA Outpatient Utilization,"B2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Primary Care Visits, FY13 ",Race/Ethnicity by Primary Care Visits,Encounters,Primary Care Visits,0 encounters,4815,8314,116090,NA,36367,NA,NA,NA,3850,3937,NA,NA,NA,NA,NA,NA,45216,NA,509656,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,B. VHA Outpatient Utilization,"B2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Primary Care Visits, FY13 ",Race/Ethnicity by Primary Care Visits,Encounters,Primary Care Visits,1 encounter,8804,14866,211638,NA,71333,NA,NA,NA,8791,9669,NA,NA,NA,NA,NA,NA,74997,NA,1291573,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,B. VHA Outpatient Utilization,"B2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Primary Care Visits, FY13 ",Race/Ethnicity by Primary Care Visits,Encounters,Primary Care Visits,2 encounters,6225,9706,183946,NA,60672,NA,NA,NA,7528,7594,NA,NA,NA,NA,NA,NA,40482,NA,928547,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,B. VHA Outpatient Utilization,"B2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Primary Care Visits, FY13 ",Race/Ethnicity by Primary Care Visits,Encounters,Primary Care Visits,3-5 encounters,7922,10087,255773,NA,95435,NA,NA,NA,10057,9907,NA,NA,NA,NA,NA,NA,37243,NA,1037478,NA,NA,NA,NA,NA,NA,NA
