"VA Community Based Outpatient Clinics (CBOCs), FY2013",,,,,,
VISN,Station Number,Official Station Name,Location/City,State,FY13 Unique Patients,FY13 Clinic Encounters
1,402GA,Aroostook County (Caribou),Caribou,ME,"2,855","13,393"
1,402GB,Calais,Calais,ME,"1,023","3,907"
1,402GC,Rumford,Rumford,ME,"1,910","7,342"
1,402GD,Saco,Saco,ME,"4,510","19,087"
1,402GE,Lewiston-Auburn Area,Lewiston,ME,"3,735","12,299"
1,402HB,Bangor,Bangor,ME,"8,831","59,353"
1,402HC,Portland,Portland,ME,"3,670","19,640"
1,405GA,Bennington,Bennington,VT,"1,816","14,680"
1,405GC,Brattleboro,Brattleboro,VT,756,"5,812"
1,405HA,Colchester,Colchester,VT,"4,837","27,473"
1,405HC,VICC - St. Johnsbury - Littleton,Littleton,NH,"2,617","9,358"
1,405HF,Rutland,Rutland,VT,"1,536","5,395"
1,518GA,Lynn/North Shore,Lynn,MA,"1,933","6,598"
1,518GB,Haverhill,Haverhill,MA,"2,580","10,303"
1,518GE,Gloucester,Gloucester,MA,"1,385","4,262"
1,523,VA Boston HCS- Boston Div.,Boston,MA,"49,720","421,328"
1,523BY,Lowell,Lowell,MA,"3,363","26,803"
1,523BZ,Causeway Clinic (Boston),Boston,MA,"4,648","68,281"
1,523GA,Framingham VA Primary Care Unit,Framingham,MA,"1,690","7,883"
1,523GC,Quincy,Quincy,MA,"1,388","3,822"
1,523GD,Plymouth,Plymouth,MA,802,"2,257"
1,608,Manchester,Manchester,NH,"23,128","319,830"
1,608GA,Portsmouth,Portsmouth,NH,"1,866","7,180"
1,608GC,Somersworth,Somersworth,NH,"2,461","7,783"
1,608GD,Conway,Conway,NH,"1,008","4,463"
1,608HA,Tilton,Tilton,NH,"1,714","8,453"
1,631BY,Springfield,Springfield,MA,"6,631","55,448"
1,631GC,Pittsfield,Pittsfield,MA,"1,533","10,141"
1,631GD,Greenfield (Franklin County),Greenfield,MA,"1,684","10,426"
1,631GE,Worcester,Worcester,MA,"7,081","56,532"
1,631GF,Fitchburg,Fitchburg,MA,"2,125","8,799"
1,650GA,New Bedford Primary Care Ctr.,New Bedford,MA,"3,874","18,742"
1,650GB,Hyannis Primary Care Center,Hyannis,MA,"3,757","16,653"
1,650GD,Middletown,Middletown,RI,"2,155","13,061"
1,689A4,Newington Campus,Newington,CT,"28,080","280,835"
1,689GA,Waterbury VA Primary Care Center,Waterbury,CT,"2,586","10,059"
1,689GB,Stamford VA Primary Care Center,Stamford,CT,"1,702","4,932"
1,689GC,Willimantic CBOC (Windham 689GC),Willimantic,CT,"1,912","5,918"
1,689GD,Winsted VA Primary Care,Winsted,CT,"2,020","6,920"
1,689GE,Danbury,Danbury,CT,"1,704","7,872"
1,689HC,New London VA Primary Care Center,New London,CT,"4,425","14,617"
2,528A4,Upstate New York HCS-Batavia,Batavia,NY,"5,920","62,108"
2,528G1,Malone,Malone,NY,722,"2,137"
2,528G2,Elizabethtown (Westport),Westport,NY,855,"3,382"
2,528G3,Bainbridge,Bainbridge,NY,"1,259","4,879"
2,528G4,Elmira,Elmira,NY,"2,848","17,940"
2,528G5,Auburn,Auburn,NY,"1,509","6,275"
2,528G6,Fonda,Fonda,NY,"1,224","3,668"
2,528G7,Catskill,Catskill,NY,"1,118","3,892"
2,528G8,Wellsville,Wellsville,NY,"1,441","8,708"
2,528G9,Cortland,Freeville,NY,"2,165","12,002"
2,528GB,Jamestown,Jamestown,NY,"2,057","11,995"
2,528GC,Dunkirk,Dunkirk,NY,"1,758","9,000"
2,528GD,Niagara Falls,Niagara Falls,NY,"1,805","9,709"
2,528GE,Rochester,Rochester,NY,"13,083","133,004"
2,528GK,Lockport,Lockport,NY,"1,386","5,683"
2,528GL,Massena,Massena,NY,"1,813","9,196"
2,528GM,Rome,Rome,NY,"6,712","59,398"
2,528GN,Binghamton,Binghamton,NY,"4,679","27,747"
2,528GO,Watertown,Watertown,NY,"4,827","23,890"
2,528GP,Oswego,Oswego,NY,"2,051","8,882"
2,528GQ,Lackawanna,Lackawanna,NY,"2,943","13,277"
2,528GR,Olean,Olean,NY,"1,940","11,712"
2,528GT,Glens Falls,Glens Falls,NY,"3,237","8,745"
2,528GV,Plattsburgh,Plattsburgh,NY,"2,017","8,032"
2,528GW,Schenectady,Schenectady,NY,"1,869","4,717"
2,528GX,Troy,Troy,NY,"1,192","4,195"
2,528GY,Clifton Park,Clifton Park,NY,"1,831","8,551"
2,528GZ,Kingston,Kingston,NY,"1,724","6,013"
3,526GA,White Plains,White Plains,NY,"1,623","5,239"
3,526GB,Yonkers,Yonkers,NY,"1,015","4,115"
3,526GD,Queens,Sunnyside,NY,454,"1,381"
3,561BY,Newark,Newark,NJ,107,"8,427"
3,561BZ,Brick,Brick,NJ,"11,584","81,557"
3,561GA,Hamilton,Hamilton,NJ,"2,080","10,123"
3,561GB,Elizabeth,Elizabeth,NJ,"1,317","5,262"
